equity,commodity_series,tenor_months_actual,window_days,data_window_start,data_window_end,n_observations,coint_p,coint_passed,coint_p_bh_adjusted,spread_adf_p,granger_maxlag_used,granger_p_lag5,granger_p_lag20,granger_p_lag60,granger_p_lag90,granger_p_lag130,granger_best_lag,granger_best_p,granger_passed,beta,r_squared
ROK,HGZ27.CMX spread,41.6,90,2022-09-29,2026-04-27,896,0.13553563022708537,False,0.34130431344154966,0.5186,130,0.8257511392190198,0.9652227285767334,0.18284563816396213,0.26426904259650735,0.6047538151498735,64,0.1277086433061865,False,-0.00010673680641609395,4.768049992565082e-05
ROK,HG=F front-month (matched HGZ27.CMX window),1.0,90,2022-09-29,2026-04-27,896,0.1057342024824594,False,0.34130431344154966,,130,0.05488835808406065,0.14701790342053475,0.727432800471223,0.8238562553377736,0.892236278939291,4,0.041166757672581364,True,0.05346910166163536,0.0018655412178112396
TEL,HGZ27.CMX level,41.6,30,2022-09-29,2026-04-27,896,0.3667839833816568,False,0.5036436786733197,,130,0.2691216705498943,0.0012408452592768489,0.03915842326515389,0.07119164170656742,0.04736667304960533,16,0.0005509289287743019,True,0.1609847466508006,0.017682655182684637
TEL,HGZ27.CMX spread,41.6,30,2022-09-29,2026-04-27,896,0.16694232722684493,False,0.34130431344154966,0.5186,130,0.9214221887565403,0.9999317839252873,0.9989490444518401,0.9999135763216891,0.9999838978278677,1,0.32529092067251975,False,-0.00014827500543373298,0.00012304463097934093
TEL,HG=F front-month (matched HGZ27.CMX window),1.0,30,2022-09-29,2026-04-27,896,0.2863488918375372,False,0.47705900898929704,,130,0.12900454365712352,0.004879841447644143,0.05417698417177085,0.05779320624317725,0.09393307202848698,16,0.0017156619341225172,True,0.17277866945544423,0.027693729711493864
TEL,HGZ27.CMX level,41.6,60,2022-09-29,2026-04-27,896,0.3667839833816568,False,0.5036436786733197,,130,0.2691216705498943,0.0012408452592768489,0.03915842326515389,0.07119164170656742,0.04736667304960533,16,0.0005509289287743019,True,0.04108833662469367,0.0010514710070618216
TEL,HGZ27.CMX spread,41.6,60,2022-09-29,2026-04-27,896,0.16694232722684493,False,0.34130431344154966,0.5186,130,0.9214221887565403,0.9999317839252873,0.9989490444518401,0.9999135763216891,0.9999838978278677,1,0.32529092067251975,False,-2.3838045121566986e-05,3.4359503425784865e-06
TEL,HG=F front-month (matched HGZ27.CMX window),1.0,60,2022-09-29,2026-04-27,896,0.2863488918375372,False,0.47705900898929704,,130,0.12900454365712352,0.004879841447644143,0.05417698417177085,0.05779320624317725,0.09393307202848698,16,0.0017156619341225172,True,0.11483745499726725,0.010836658381902509
TEL,HGZ27.CMX level,41.6,90,2022-09-29,2026-04-27,896,0.3667839833816568,False,0.5036436786733197,,130,0.2691216705498943,0.0012408452592768489,0.03915842326515389,0.07119164170656742,0.04736667304960533,16,0.0005509289287743019,True,-0.17862136502524975,0.013930563144605168
TEL,HGZ27.CMX spread,41.6,90,2022-09-29,2026-04-27,896,0.16694232722684493,False,0.34130431344154966,0.5186,130,0.9214221887565403,0.9999317839252873,0.9989490444518401,0.9999135763216891,0.9999838978278677,1,0.32529092067251975,False,-0.00038132334626493836,0.000518686471061236
TEL,HG=F front-month (matched HGZ27.CMX window),1.0,90,2022-09-29,2026-04-27,896,0.2863488918375372,False,0.47705900898929704,,130,0.12900454365712352,0.004879841447644143,0.05417698417177085,0.05779320624317725,0.09393307202848698,16,0.0017156619341225172,True,-0.028868523146594858,0.0004634629488389219
